S1,S2,S3,S4,S5,S6,S7,S8,time
-8.921,0.834,-19.847,8.148,-2.146,1.129,-0.071,3.408,0
-8.433,3.276,-12.522,1.801,-2.146,0.641,-0.559,1.455,0.00390625
-2.574,5.717,1.149,-2.594,-1.658,-0.336,-1.048,0.478,0.0078125
5.239,7.67,14.821,-4.547,-0.682,-0.824,-0.559,0.966,0.01171875
11.587,9.623,20.681,-5.035,2.248,0.641,0.905,1.943,0.015625
14.028,9.623,17.263,-5.524,5.178,3.571,2.37,2.92,0.01953125
11.587,8.647,8.962,-4.547,6.643,6.012,3.835,1.943,0.0234375
6.704,5.229,0.173,-0.641,5.178,6.989,4.323,0.478,0.02734375
1.821,1.322,-3.733,5.707,1.76,5.524,3.347,0.478,0.03125
-1.109,-2.096,-2.268,10.59,-1.658,2.594,1.882,1.943,0.03515625
-2.085,-4.049,0.661,9.125,-3.611,0.641,0.417,3.896,0.0390625
-1.597,-5.025,2.614,1.801,-1.658,0.153,0.417,4.384,0.04296875
0.356,-5.025,3.103,-6.5,1.272,1.617,0.905,2.92,0.046875
2.309,-5.025,2.614,-9.918,3.225,3.082,1.394,0.966,0.05078125
2.797,-4.537,3.103,-6.5,2.736,4.059,1.394,-0.498,0.0546875
2.309,-4.049,4.567,-0.641,0.295,3.571,0.905,0.478,0.05859375
0.356,-1.607,7.009,4.242,-1.658,2.594,0.417,2.431,0.0625
-0.132,2.299,7.985,4.73,-0.682,2.106,-0.071,2.92,0.06640625
-0.132,6.205,7.009,1.312,1.76,1.129,0.905,0.966,0.0703125
0.356,8.647,4.079,-2.594,3.713,-0.336,1.394,-2.94,0.07421875
0.844,9.135,0.173,-6.5,3.225,-2.289,1.882,-5.87,0.078125
1.333,7.67,-2.268,-7.477,2.248,-2.777,1.394,-4.893,0.08203125
2.797,6.205,-0.804,-4.059,2.736,-1.312,2.37,-0.987,0.0859375
6.215,5.717,3.591,4.242,4.69,1.129,3.835,4.873,0.08984375
9.633,6.205,8.962,14.008,6.643,3.082,5.3,7.802,0.09375
10.61,4.252,11.403,19.379,6.643,4.059,5.3,8.291,0.09765625
6.704,-0.631,9.939,15.961,3.225,3.571,3.835,6.337,0.1015625
-0.621,-7.955,4.567,3.754,-1.658,3.082,1.394,4.873,0.10546875
-5.992,-11.861,-1.78,-9.918,-4.1,3.571,-0.559,3.896,0.109375
-6.48,-10.396,-5.198,-16.266,-3.123,4.547,-0.071,3.408,0.11328125
-1.597,-2.584,-3.245,-12.36,0.295,4.547,0.905,1.455,0.1171875
4.262,6.205,2.614,-3.082,3.713,2.594,2.858,-1.963,0.12109375
7.68,10.111,8.962,2.777,4.69,-0.336,2.858,-4.405,0.125
5.727,6.694,11.403,-0.641,2.736,-2.777,2.37,-3.916,0.12890625
1.821,0.346,8.962,-8.942,0.783,-2.289,1.394,1.455,0.1328125
0.356,-2.096,2.614,-11.871,1.272,2.106,2.858,8.779,0.13671875
3.286,2.787,-1.78,-3.571,4.201,8.453,5.788,13.662,0.140625
9.145,11.088,-0.315,13.519,9.084,13.824,8.23,11.709,0.14453125
14.028,16.947,5.544,27.679,12.014,14.801,8.718,4.873,0.1484375
13.54,14.506,11.403,27.679,12.014,12.848,7.253,-1.963,0.15234375
8.169,5.717,11.403,14.008,9.572,9.43,5.3,-3.428,0.15625
1.821,-3.56,4.567,-3.082,6.643,7.477,4.812,1.455,0.16015625
-1.109,-6.002,-3.245,-10.895,5.666,7.965,6.276,9.267,0.1640625
2.309,-0.631,-5.686,-5.035,7.619,10.406,8.718,14.638,0.16796875
9.633,8.647,1.638,8.636,10.549,12.36,9.694,14.638,0.171875
16.469,17.436,13.845,18.89,11.037,11.871,8.23,9.755,0.17578125
18.911,20.365,22.634,18.402,8.596,7.965,4.323,3.896,0.1796875
15.004,17.924,21.657,10.101,3.713,3.571,0.905,-0.498,0.18359375
8.169,12.553,11.892,-0.641,-0.682,1.129,-0.559,-1.475,0.1875
2.309,6.694,1.149,-6.989,-2.146,1.129,0.417,-0.01,0.19140625
1.333,4.252,-1.78,-7.477,0.295,4.059,2.858,2.92,0.1953125
4.262,4.74,2.126,-3.082,4.69,6.5,4.812,4.873,0.19921875
9.145,7.182,7.985,4.242,7.619,6.989,5.3,6.337,0.203125
11.587,9.135,8.962,12.054,8.108,5.524,4.323,6.337,0.20703125
9.633,9.623,3.103,17.426,6.643,3.571,3.835,5.849,0.2109375
5.727,7.67,-4.222,17.914,5.178,3.571,4.323,5.849,0.21484375
3.286,6.694,-5.686,13.031,4.69,6.5,5.3,6.826,0.21875
4.751,8.158,1.149,6.195,6.643,10.406,6.276,8.291,0.22265625
10.122,12.065,11.892,2.289,9.084,12.848,6.276,8.779,0.2265625
15.004,15.971,18.728,4.242,10.549,12.36,5.788,8.291,0.23046875
14.516,14.994,16.286,9.613,9.572,8.942,4.323,6.337,0.234375
8.169,7.67,7.497,13.031,6.643,5.524,3.835,4.873,0.23828125
-1.109,-3.072,-1.78,9.125,2.736,3.082,2.858,4.384,0.2421875
-8.433,-11.373,-7.151,-1.129,-1.17,2.594,2.37,4.384,0.24609375
-10.386,-13.326,-7.64,-12.848,-3.123,3.571,1.394,4.873,0.25
-7.456,-9.42,-6.663,-18.707,-3.123,3.082,0.417,4.873,0.25390625
-3.062,-3.072,-5.686,-15.778,-1.658,1.617,0.417,3.896,0.2578125
0.356,0.834,-5.198,-4.059,0.295,0.641,0.905,3.408,0.26171875
0.844,2.787,-3.733,10.101,1.272,0.641,1.882,3.408,0.265625
-0.132,2.787,-0.315,18.89,1.272,1.129,1.882,2.92,0.26953125
-2.085,2.299,2.126,19.379,0.295,2.106,1.394,1.943,0.2734375
-3.062,0.346,2.126,10.59,-1.17,2.106,-0.071,-0.01,0.27734375
-3.55,-3.072,-0.315,-2.106,-2.146,0.641,-1.536,-0.987,0.28125
-3.062,-6.49,-0.804,-11.383,-3.123,-0.824,-2.024,-0.498,0.28515625
-2.574,-6.978,2.126,-14.801,-2.635,-1.801,-1.536,0.478,0.2890625
-2.574,-3.072,7.497,-14.313,-2.635,-2.777,-1.048,0.966,0.29296875
-3.55,2.787,7.497,-12.36,-2.146,-3.754,-1.048,-0.01,0.296875
-5.503,6.694,-1.78,-11.383,-1.658,-4.73,-2.024,-2.452,0.30078125
-7.456,4.74,-17.893,-9.918,-0.682,-5.219,-2.513,-3.916,0.3046875
-7.945,-3.072,-30.589,-4.059,-0.193,-2.777,-2.513,-2.94,0.30859375
-6.48,-11.373,-29.124,5.707,0.295,0.641,-2.513,0.478,0.3125
-4.038,-14.303,-12.522,14.984,-0.682,4.547,-2.024,3.408,0.31640625
-1.597,-9.42,10.915,17.914,-4.1,5.035,-3.001,2.92,0.3203125
-0.132,-1.119,27.028,12.543,-7.029,2.106,-3.977,-0.987,0.32421875
-0.132,4.74,27.517,3.754,-8.006,-2.289,-4.954,-5.87,0.328125
-0.132,5.717,15.798,-2.594,-6.053,-5.707,-4.954,-7.823,0.33203125
1.333,1.811,3.103,-3.082,-1.658,-5.707,-3.489,-5.87,0.3359375
2.309,-1.119,-1.78,-1.617,2.248,-2.777,-1.536,-0.987,0.33984375
2.309,-1.607,2.126,-2.594,1.76,-0.336,-1.048,2.431,0.34375
0.356,-0.631,7.497,-7.965,-0.682,0.641,-1.536,2.431,0.34765625
-4.038,-0.631,6.521,-12.848,-4.588,-0.824,-2.024,-0.987,0.3515625
-8.433,-4.049,-1.292,-10.895,-5.076,-2.289,-2.513,-4.405,0.35546875
-9.898,-7.955,-10.081,-4.059,-3.123,-2.289,-2.024,-4.893,0.359375
-8.921,-9.908,-12.522,4.73,0.295,-1.312,-1.048,-2.94,0.36328125
-5.503,-6.978,-7.64,7.172,1.76,-0.336,-0.559,-0.01,0.3671875
-2.574,-2.584,-0.315,-0.153,-0.193,-1.801,-1.536,-0.01,0.37109375
-1.597,0.346,5.056,-11.383,-3.611,-6.195,-3.001,-2.94,0.375
-2.574,-1.119,7.009,-18.219,-6.541,-8.636,-3.977,-5.87,0.37890625
-4.038,-6.002,7.009,-15.289,-6.541,-7.66,-3.489,-6.358,0.3828125
-4.527,-10.396,7.497,-6.5,-4.588,-2.289,-2.513,-4.893,0.38671875
-4.527,-13.326,8.474,0.824,-2.635,3.082,-2.024,-3.428,0.390625
-5.503,-14.303,6.521,1.312,-3.123,4.059,-2.513,-3.916,0.39453125
-7.945,-14.303,0.173,-4.059,-5.564,-0.336,-4.466,-5.87,0.3984375
-11.363,-13.814,-7.64,-10.406,-8.494,-7.66,-6.419,-7.334,0.40234375
-13.316,-12.838,-13.011,-12.848,-8.494,-11.078,-6.419,-6.358,0.40625
-11.363,-9.908,-13.011,-10.895,-5.564,-9.613,-4.954,-4.405,0.41015625
-7.456,-5.514,-9.104,-7.965,-1.658,-4.242,-2.513,-2.452,0.4140625
-3.062,-1.607,-3.245,-6.989,0.295,-0.336,-1.048,-1.963,0.41796875
-1.597,0.346,0.661,-8.942,0.295,-0.824,-1.536,-3.428,0.421875
-2.085,0.346,2.126,-10.895,-1.17,-5.219,-2.024,-5.381,0.42578125
-3.55,-1.119,2.126,-10.406,-2.146,-8.636,-2.513,-5.87,0.4296875
-3.55,-3.072,2.126,-6.5,-1.17,-7.66,-2.024,-4.405,0.43359375
-2.574,-5.514,1.638,-0.153,-0.682,-1.801,-0.071,-1.963,0.4375
-2.574,-8.443,0.173,5.707,-1.17,4.059,0.905,1.455,0.44140625
-4.038,-10.885,-0.315,8.636,-3.123,6.989,0.417,2.92,0.4453125
-5.992,-9.908,2.126,8.148,-4.1,6.012,-0.559,2.431,0.44921875
-5.503,-4.537,7.497,3.265,-3.123,2.106,-1.536,0.478,0.453125
-1.597,2.299,13.357,-4.547,0.295,-0.824,-1.048,-1.963,0.45703125
2.797,7.67,14.821,-11.383,3.713,-0.824,-0.071,-3.428,0.4609375
5.727,8.647,9.939,-14.313,4.69,0.641,1.394,-3.428,0.46484375
6.215,6.694,1.149,-10.406,3.225,2.594,2.37,-2.94,0.46875
4.262,4.74,-5.686,-0.641,0.783,3.082,1.394,-1.963,0.47265625
3.774,5.717,-5.198,11.566,0.295,3.082,0.905,-0.987,0.4765625
5.239,8.647,3.591,20.355,2.736,3.082,0.905,-0.987,0.48046875
8.657,9.135,14.333,23.285,6.154,4.059,1.394,-0.01,0.484375
9.633,5.717,20.681,19.379,8.108,5.035,2.37,1.943,0.48828125
6.704,-1.119,19.216,11.566,7.619,5.035,2.858,4.873,0.4921875
2.309,-6.978,12.868,2.289,7.131,4.547,3.347,7.314,0.49609375
-0.132,-6.978,7.497,-4.059,7.131,3.571,3.347,7.314,0.5
1.333,-1.607,8.474,-7.477,8.596,3.571,3.347,4.384,0.50390625
6.215,5.717,14.333,-8.453,10.061,3.571,3.347,-0.01,0.5078125
10.61,9.623,17.751,-8.453,10.061,4.547,3.347,-2.94,0.51171875
11.098,9.623,14.821,-7.477,9.084,5.035,3.835,-2.452,0.515625
6.215,6.205,4.079,-5.035,6.154,5.035,3.347,-0.01,0.51953125
-0.132,3.764,-7.64,1.312,3.225,5.524,2.858,2.431,0.5234375
-4.038,4.252,-13.011,9.613,0.295,5.524,1.882,2.431,0.52734375
-3.062,7.182,-9.104,16.937,-1.17,5.524,1.394,1.455,0.53125
1.333,8.647,1.149,18.89,-0.682,5.035,0.905,0.478,0.53515625
5.727,7.67,10.427,13.031,1.76,4.059,1.394,1.455,0.5390625
7.192,3.764,13.357,2.289,5.666,3.571,2.858,3.896,0.54296875
4.751,0.346,9.45,-6.5,9.084,4.547,5.3,6.826,0.546875
1.821,-0.142,2.614,-6.989,10.061,6.012,7.253,8.779,0.55078125
0.844,1.811,-0.315,2.289,9.572,8.453,8.23,8.779,0.5546875
3.286,6.694,4.079,14.496,8.108,10.895,8.718,6.826,0.55859375
6.704,9.135,11.403,20.355,6.154,11.871,8.23,5.361,0.5625
